"Matches Played","Leader","Chelsea Points","Nearest Competitor","Nearest Competitor Points","Points Difference"
1,"Chelsea FC",3,"Manchester City",3,0
2,"Chelsea FC",6,"Tottenham Hotspur",6,0
3,"Chelsea FC",9,"Swansea City",9,0
4,"Chelsea FC",12,"Aston Villa",10,2
5,"Chelsea FC",13,"Southampton FC",10,3
6,"Chelsea FC",16,"Southampton FC",13,3
7,"Chelsea FC",19,"Manchester City",14,5
8,"Chelsea FC",22,"Manchester City",17,5
9,"Chelsea FC",23,"Southampton FC",19,4
10,"Chelsea FC",26,"Southampton FC",22,4
11,"Chelsea FC",29,"Southampton FC",25,4
12,"Chelsea FC",32,"Southampton FC",26,6
13,"Chelsea FC",33,"Manchester City",27,6
14,"Chelsea FC",36,"Manchester City",30,6
15,"Chelsea FC",36,"Manchester City",33,3
16,"Chelsea FC",39,"Manchester City",36,3
17,"Chelsea FC",42,"Manchester City",39,3
18,"Chelsea FC",45,"Manchester City",42,3
19,"Chelsea FC",46,"Manchester City",43,3
20,"Chelsea FC",46,"Manchester City",46,0
21,"Chelsea FC",49,"Manchester City",47,2
22,"Chelsea FC",52,"Manchester City",47,5
23,"Chelsea FC",53,"Manchester City",48,5
24,"Chelsea FC",56,"Manchester City",49,7
25,"Chelsea FC",59,"Manchester City",52,7
26,"Chelsea FC",60,"Manchester City",55,5
27,"Chelsea FC",63,"Manchester City",55,8
28,"Chelsea FC",66,"Manchester City",58,8
29,"Chelsea FC",67,"Manchester City",58,9
30,"Chelsea FC",70,"Manchester City",61,9
31,"Chelsea FC",73,"Arsenal FC",63,10
32,"Chelsea FC",76,"Arsenal FC",66,10
33,"Chelsea FC",79,"Arsenal FC",67,12
34,"Chelsea FC",80,"Arsenal FC",68,12
35,"Chelsea FC",83,"Arsenal FC",71,12
36,"Chelsea FC",84,"Manchester City",73,11
37,"Chelsea FC",84,"Manchester City",76,8
38,"Chelsea FC",87,"Manchester City",79,8
